DATE,VALUE
1948-01-01,3.4
1948-02-01,3.8
1948-03-01,4.0
1948-04-01,3.9
1948-05-01,3.5
1948-06-01,3.6
1948-07-01,3.6
1948-08-01,3.9
1948-09-01,3.8
1948-10-01,3.7
1948-11-01,3.8
1948-12-01,4.0
1949-01-01,4.3
1949-02-01,4.7
1949-03-01,5.0
1949-04-01,5.3
1949-05-01,6.1
1949-06-01,6.2
1949-07-01,6.7
1949-08-01,6.8
1949-09-01,6.6
1949-10-01,7.9
1949-11-01,6.4
1949-12-01,6.6
1950-01-01,6.5
1950-02-01,6.4
1950-03-01,6.3
1950-04-01,5.8
1950-05-01,5.5
1950-06-01,5.4
1950-07-01,5.0
1950-08-01,4.5
1950-09-01,4.4
1950-10-01,4.2
1950-11-01,4.2
1950-12-01,4.3
1951-01-01,3.7
1951-02-01,3.4
1951-03-01,3.4
1951-04-01,3.1
1951-05-01,3.0
1951-06-01,3.2
1951-07-01,3.1
1951-08-01,3.1
1951-09-01,3.3
1951-10-01,3.5
1951-11-01,3.5
1951-12-01,3.1
1952-01-01,3.2
1952-02-01,3.1
1952-03-01,2.9
1952-04-01,2.9
1952-05-01,3.0
1952-06-01,3.0
1952-07-01,3.2
1952-08-01,3.4
1952-09-01,3.1
1952-10-01,3.0
1952-11-01,2.8
1952-12-01,2.7
